"filename", "language", "JavaScript", "JavaScript JSX", "CSS", "JSON", "JSON with Comments", "Markdown", "HTML", "XML", "comment", "blank", "total"
"c:\Users\hp\Documents\pro\in-patients\src\components\shared\DepositReceipt.jsx", "JavaScript JSX", 0, 43, 0, 0, 0, 0, 0, 0, 0, 7, 50
"c:\Users\hp\Documents\pro\in-patients\src\components\shared\HospitalLogo.jsx", "JavaScript JSX", 0, 20, 0, 0, 0, 0, 0, 0, 0, 4, 24
"c:\Users\hp\Documents\pro\in-patients\src\components\shared\RecordTimeline.jsx", "JavaScript JSX", 0, 168, 0, 0, 0, 0, 0, 0, 0, 13, 181
"c:\Users\hp\Documents\pro\in-patients\src\components\shared\RoomTransferPanel.jsx", "JavaScript JSX", 0, 299, 0, 0, 0, 0, 0, 0, 0, 19, 318
"c:\Users\hp\Documents\pro\in-patients\src\components\shared\ServiceRecordBuilder.jsx", "JavaScript JSX", 0, 469, 0, 0, 0, 0, 0, 0, 0, 26, 495
"c:\Users\hp\Documents\pro\in-patients\src\components\shared\ServiceTimeline.jsx", "JavaScript JSX", 0, 123, 0, 0, 0, 0, 0, 0, 0, 13, 136
"c:\Users\hp\Documents\pro\in-patients\src\components\ui\alert-dialog.jsx", "JavaScript JSX", 0, 69, 0, 0, 0, 0, 0, 0, 0, 11, 80
"c:\Users\hp\Documents\pro\in-patients\src\components\ui\avatar.jsx", "JavaScript JSX", 0, 16, 0, 0, 0, 0, 0, 0, 0, 5, 21
"c:\Users\hp\Documents\pro\in-patients\src\components\ui\badge.jsx", "JavaScript JSX", 0, 23, 0, 0, 0, 0, 0, 0, 0, 3, 26
"c:\Users\hp\Documents\pro\in-patients\src\components\ui\button.jsx", "JavaScript JSX", 0, 35, 0, 0, 0, 0, 0, 0, 0, 4, 39
"c:\Users\hp\Documents\pro\in-patients\src\components\ui\card.jsx", "JavaScript JSX", 0, 27, 0, 0, 0, 0, 0, 0, 0, 8, 35
"c:\Users\hp\Documents\pro\in-patients\src\components\ui\dialog.jsx", "JavaScript JSX", 0, 67, 0, 0, 0, 0, 0, 0, 0, 9, 76
"c:\Users\hp\Documents\pro\in-patients\src\components\ui\input.jsx", "JavaScript JSX", 0, 15, 0, 0, 0, 0, 0, 0, 0, 3, 18
"c:\Users\hp\Documents\pro\in-patients\src\components\ui\label.jsx", "JavaScript JSX", 0, 8, 0, 0, 0, 0, 0, 0, 0, 3, 11
"c:\Users\hp\Documents\pro\in-patients\src\components\ui\select.jsx", "JavaScript JSX", 0, 94, 0, 0, 0, 0, 0, 0, 0, 10, 104
"c:\Users\hp\Documents\pro\in-patients\src\components\ui\separator.jsx", "JavaScript JSX", 0, 14, 0, 0, 0, 0, 0, 0, 0, 3, 17
"c:\Users\hp\Documents\pro\in-patients\src\components\ui\switch.jsx", "JavaScript JSX", 0, 21, 0, 0, 0, 0, 0, 0, 0, 3, 24
"c:\Users\hp\Documents\pro\in-patients\src\components\ui\tabs.jsx", "JavaScript JSX", 0, 35, 0, 0, 0, 0, 0, 0, 0, 6, 41
"c:\Users\hp\Documents\pro\in-patients\src\components\ui\toast.jsx", "JavaScript JSX", 0, 78, 0, 0, 0, 0, 0, 0, 0, 10, 88
"c:\Users\hp\Documents\pro\in-patients\src\context\AuthContext.jsx", "JavaScript JSX", 0, 121, 0, 0, 0, 0, 0, 0, 0, 19, 140
"c:\Users\hp\Documents\pro\in-patients\src\context\BillingConfigContext.jsx", "JavaScript JSX", 0, 103, 0, 0, 0, 0, 0, 0, 0, 13, 116
"c:\Users\hp\Documents\pro\in-patients\src\context\PatientsContext.jsx", "JavaScript JSX", 0, 438, 0, 0, 0, 0, 0, 0, 0, 35, 473
"c:\Users\hp\Documents\pro\in-patients\src\context\ServiceEntriesContext.jsx", "JavaScript JSX", 0, 627, 0, 0, 0, 0, 0, 0, 0, 63, 690
"c:\Users\hp\Documents\pro\in-patients\src\context\ThemeContext.jsx", "JavaScript JSX", 0, 22, 0, 0, 0, 0, 0, 0, 0, 7, 29
"c:\Users\hp\Documents\pro\in-patients\src\context\ToastContext.jsx", "JavaScript JSX", 0, 39, 0, 0, 0, 0, 0, 0, 0, 8, 47
"c:\Users\hp\Documents\pro\in-patients\src\data\mockData.js", "JavaScript", 781, 0, 0, 0, 0, 0, 0, 0, 3, 37, 821
"c:\Users\hp\Documents\pro\in-patients\src\hooks\useManagerDashboard.js", "JavaScript", 67, 0, 0, 0, 0, 0, 0, 0, 0, 7, 74
"c:\Users\hp\Documents\pro\in-patients\src\index.css", "CSS", 0, 0, 100, 0, 0, 0, 0, 0, 0, 11, 111
"c:\Users\hp\Documents\pro\in-patients\src\lib\printReport.js", "JavaScript", 98, 0, 0, 0, 0, 0, 0, 0, 0, 12, 110
"c:\Users\hp\Documents\pro\in-patients\src\lib\utils.js", "JavaScript", 48, 0, 0, 0, 0, 0, 0, 0, 0, 7, 55
"c:\Users\hp\Documents\pro\in-patients\src\lib\validation.js", "JavaScript", 239, 0, 0, 0, 0, 0, 0, 0, 0, 51, 290
"c:\Users\hp\Documents\pro\in-patients\src\main.jsx", "JavaScript JSX", 0, 9, 0, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\hp\Documents\pro\in-patients\src\pages\LoginPage.jsx", "JavaScript JSX", 0, 122, 0, 0, 0, 0, 0, 0, 0, 10, 132
"c:\Users\hp\Documents\pro\in-patients\src\pages\admin\AdminDashboard.jsx", "JavaScript JSX", 0, 73, 0, 0, 0, 0, 0, 0, 0, 5, 78
"c:\Users\hp\Documents\pro\in-patients\src\pages\admin\DepartmentsPage.jsx", "JavaScript JSX", 0, 37, 0, 0, 0, 0, 0, 0, 0, 4, 41
"c:\Users\hp\Documents\pro\in-patients\src\pages\admin\DoctorsPage.jsx", "JavaScript JSX", 0, 17, 0, 0, 0, 0, 0, 0, 0, 3, 20
"c:\Users\hp\Documents\pro\in-patients\src\pages\admin\MedicinesPage.jsx", "JavaScript JSX", 0, 95, 0, 0, 0, 0, 0, 0, 0, 9, 104
"c:\Users\hp\Documents\pro\in-patients\src\pages\admin\RoomChargesPage.jsx", "JavaScript JSX", 0, 49, 0, 0, 0, 0, 0, 0, 0, 3, 52
"c:\Users\hp\Documents\pro\in-patients\src\pages\admin\ServicesPage.jsx", "JavaScript JSX", 0, 115, 0, 0, 0, 0, 0, 0, 0, 10, 125
"c:\Users\hp\Documents\pro\in-patients\src\pages\admin\SettingsPage.jsx", "JavaScript JSX", 0, 127, 0, 0, 0, 0, 0, 0, 0, 8, 135
"c:\Users\hp\Documents\pro\in-patients\src\pages\admin\UsersPage.jsx", "JavaScript JSX", 0, 18, 0, 0, 0, 0, 0, 0, 0, 3, 21
"c:\Users\hp\Documents\pro\in-patients\src\pages\manager\ManagerDashboard.jsx", "JavaScript JSX", 0, 119, 0, 0, 0, 0, 0, 0, 0, 13, 132
"c:\Users\hp\Documents\pro\in-patients\src\pages\manager\ReportsPage.jsx", "JavaScript JSX", 0, 191, 0, 0, 0, 0, 0, 0, 0, 12, 203
